"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Body Item Label","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","DRAM Frequency","Ghz","14.68",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","SM Frequency","Ghz","2.84",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Elapsed Cycles","cycle","6641",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Memory Throughput","%","5.07",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","DRAM Throughput","%","4.52",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Duration","us","2.34",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","L1/TEX Cache Throughput","%","3.08",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Waves Per SM","","0.01",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","L2 Cache Throughput","%","1.06",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","SM Active Cycles","cycle","346.81",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","","Compute (SM) Throughput","%","0.22",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","GPU Throughput","Memory [%]","%","5.07",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","GPU Throughput","Compute (SM) [%]","%","0.22",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Compute Throughput Breakdown","SM: Inst Executed Pipe Lsu","%","0.22",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Compute Throughput Breakdown","SM: Inst Executed","%","0.15",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Compute Throughput Breakdown","SM: Issue Active","%","0.15",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Compute Throughput Breakdown","SM: Inst Executed Pipe Adu","%","0.14",
"0","407","python3.12","127.0.0.1","triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_0","1","7","(64, 1, 1)","(16, 1, 1)","0","12.0","GPU Speed Of Light Throughput","Compute Throughput Breakdown","SM: Mio Inst Issued","%","0.12",
